Date,Close/Last,Volume,Open,High,Low
05/11/2021,759.5,382,747.25,770.5,756.5
05/10/2021,748,682,766.75,765,744.75
05/07/2021,772.75,504,763.25,775,755
05/06/2021,759.5,1759,761,761.75,756.75
05/05/2021,753.25,1520,750,756,740.75
05/04/2021,744.75,1667,750,751,743.75
05/03/2021,732.25,2960,740,758.25,724
04/30/2021,740,8650,702.5,746.25,699.25
04/29/2021,702,26930,683.75,704.5,681
04/28/2021,686.25,84371,697.75,720.5,676.25
04/27/2021,695.5,140539,688.5,720.5,680.5
04/26/2021,680.5,122800,661,680.5,661
04/23/2021,655.5,126115,653,658.5,638.25
04/22/2021,650.5,124204,650.5,650.5,650.5
04/21/2021,625.5,141802,609.5,628.5,604.5
04/20/2021,606.5,147648,593,611.75,592.75
04/19/2021,592,85660,588.75,596.75,588.25
04/16/2021,585.5,155290,590.5,594.75,583.25
04/15/2021,590,160311,590,590.25,589.75
04/14/2021,594,204036,579.75,597.75,578.75
04/13/2021,580,194793,569,584.5,565.5
04/12/2021,569,171367,577.75,586,567.25
04/09/2021,577.25,215954,584,595,575.5
04/08/2021,579.75,227161,560.75,583,559.25
04/07/2021,560.5,130003,555.75,562.25,553.75
04/06/2021,554.25,106840,553.75,561.5,552.25
04/05/2021,553.25,121974,561.25,564.5,549.75
04/01/2021,559.75,229186,575,585,556.5
03/31/2021,564.25,126787,538.25,564.25,536.25
03/30/2021,539.25,115093,546.25,547.5,533.75
03/29/2021,546.75,103895,551.75,552,542.25
03/26/2021,552.5,110577,546.5,554,544
03/25/2021,546.5,129615,552.25,552.5,541.5
03/24/2021,553.25,79201,551,553.75,548.25
03/23/2021,551.25,104331,551.25,556,547.75
03/22/2021,549,119446,558,558.75,546.75
03/19/2021,557.75,133109,546.25,559,545.5
03/18/2021,546.5,29057,549.75,551.25,545.25
03/17/2021,558,117738,554,558.5,552
03/16/2021,554.25,123291,549.5,555.5,546.75
03/15/2021,549.5,129474,537,550.75,532.75
03/12/2021,549.25,66,545,551.5,544.5
03/11/2021,555,672,547,556.25,547.5
03/10/2021,547.75,1854,549,552.5,547.5
03/09/2021,562,2036,565,565,554.25
03/08/2021,565,1924,565.25,571.25,557
03/05/2021,562,1353,545,564.75,544.5
03/04/2021,546.25,2074,550.25,550,546
03/03/2021,550.25,3357,560,554.25,548
03/02/2021,560.75,7162,563,564,560
03/01/2021,547.5,6415,547.25,547.75,547
02/26/2021,555.5,19561,554.5,556.5,546.25
02/25/2021,554.75,117962,559,560.5,542.5
02/24/2021,559.25,146580,553.5,560.75,552
02/23/2021,553.75,101965,550.75,559.5,550
02/22/2021,551,97501,544.25,551.5,543.5
02/19/2021,542.75,164987,549.25,555.5,540.75
02/18/2021,550.25,109236,552.75,554.5,548
02/17/2021,553,107406,552,554.75,547.5
02/16/2021,552.25,124722,547,552.75,538.5
02/12/2021,538.75,100156,541,546.25,536.75
02/11/2021,541,239516,532.25,546.5,524.75
02/10/2021,534.5,257777,556,556.25,531.75
02/09/2021,556.25,358876,565,574.25,545
02/08/2021,563.75,238084,548.75,565.75,548.75
02/05/2021,548.5,190494,548.5,552.25,545.5
02/04/2021,550,201901,548.75,552.75,548
02/03/2021,552,195048,547,552.5,546.5
02/02/2021,543,157481,549.75,552.5,540.25
02/01/2021,549.25,202570,549,555.75,539
01/29/2021,547,261505,534.5,553.75,533.25
01/28/2021,534.5,234481,533.25,550.5,529
01/27/2021,534,205902,532.5,543.75,529.5
01/26/2021,532.25,209921,513,534.25,508
01/25/2021,511.5,246607,500,515.5,492.5
01/22/2021,500.5,260481,522.5,522.75,499.25
01/21/2021,524.25,154250,521,531.5,519.25
01/20/2021,522,199012,525,526.5,512.75
01/19/2021,526,170517,531.5,534.25,523.25
01/15/2021,531.5,153466,534,536.5,527.75
01/14/2021,534.25,188296,523,536.5,519
01/13/2021,524.5,299693,524,541.5,522.25
01/12/2021,517.25,231497,491.5,517.25,489.25
01/11/2021,492.25,156186,496.5,500.5,490.25
01/08/2021,496.25,147629,494,499.5,492.5
01/07/2021,494,165553,495,496,487.25
01/06/2021,495,180043,492.5,502.75,491.5
01/05/2021,491.75,196035,484.5,496,482.5
01/04/2021,483.75,244101,487.25,497.75,479.5
12/31/2020,484,152655,474,485.75,473
12/30/2020,474.5,143246,466,476,462
12/29/2020,466,171561,455.75,467.25,453.5
12/28/2020,456.5,132767,454.5,457.5,454
12/24/2020,451,68645,446.75,451.5,446.5
12/23/2020,447.25,134321,442.75,449.75,441.5
12/22/2020,443.5,129244,440,444.25,437.25
12/21/2020,440,129575,438,440.75,430.25
12/18/2020,437.5,113968,432.25,438.5,432
12/17/2020,432.5,104052,426.25,433,424.25
12/16/2020,427.25,98704,425.25,429.25,423.75
12/15/2020,424.75,86310,424,425.25,420.5
12/14/2020,419.25,200,424.75,429.75,422
12/11/2020,424.25,1724,422,424.5,417.5
12/10/2020,420.25,1262,422,425.75,420
12/09/2020,422,1079,418,422.25,418
12/08/2020,417,1757,418.75,419,415.5
12/07/2020,419.5,1156,419.5,421,419
12/04/2020,417,1675,422.25,422.75,415.75
12/03/2020,422.5,2379,419.25,423.25,417.75
12/02/2020,419,3459,414.5,419.75,409
12/01/2020,414.75,5136,420,423,414
11/30/2020,419.75,14492,427.5,430.5,418.25
11/27/2020,425.5,67235,420.25,426.25,418.5
11/25/2020,420,114946,426,427.5,420
11/24/2020,425.75,118929,425.75,426.5,416.5
11/23/2020,426.5,122703,427.5,429.75,423.5
11/20/2020,423.25,118399,422.25,428,421.5
11/19/2020,422.5,116757,424.5,425.5,418.75
11/18/2020,425.75,167384,419,428.5,418.5
11/17/2020,420.25,141630,417.5,422,417.25
11/16/2020,416.25,112417,409,416.75,409
11/13/2020,410.5,173225,410.75,411.5,409
11/12/2020,408.25,201050,417.25,418.5,406.25
11/11/2020,417.25,275380,422.5,428,416.25
11/10/2020,423,324397,407,427.25,406.25
11/09/2020,407.5,171167,405.75,410,401.75
11/06/2020,406.75,174256,409,412,405.75
11/05/2020,409.25,224154,416,417,408
11/04/2020,405.25,162947,401.25,406,401
11/03/2020,401,166641,396.25,403.25,395.25
11/02/2020,397.5,149397,396.5,396.75,396
10/30/2020,397.5,182694,397.25,400,394.25
10/29/2020,398.5,260553,401,404.25,393
10/28/2020,401.5,298407,401.25,402,400.5
10/27/2020,416,187944,416.75,422.25,415.5
10/26/2020,417.75,186684,419.25,419.75,412.75
10/23/2020,419.25,154080,415,420,414
10/22/2020,416.25,183511,413.75,419,410.75
10/21/2020,413.75,206218,413.5,415.25,413
10/20/2020,408.75,165396,404.25,409.75,403.5
10/19/2020,405.25,151226,401.75,406.75,400.75
10/16/2020,402,207141,403.25,409,401.75
10/15/2020,403.75,230584,396,404.25,393.5
10/14/2020,396.5,171799,391,397.5,388
10/13/2020,391.25,113659,389,392.75,388
10/12/2020,389,179635,395.5,399.25,387.25
10/09/2020,395,263348,395.75,397,392.75
10/08/2020,387,185365,389,394.5,386.5
10/07/2020,388.75,168605,384.5,392,384
10/06/2020,385,193542,385.5,385.5,384
10/05/2020,379.5,104653,378.75,382.5,377.25
10/02/2020,379.75,150660,381.5,383.25,377.25
10/01/2020,382.75,203850,379,385.5,378
09/30/2020,379,321598,364.25,382.75,362
09/29/2020,364.75,126942,366.75,367.75,361
09/28/2020,366.75,148107,364.25,369.75,360.5
09/25/2020,365.25,115709,363.25,367.5,363
09/24/2020,363.5,140714,368,368.25,363
09/23/2020,368.5,109359,368.25,370.25,365.75
09/22/2020,369.25,145228,369.75,373.25,365.75
09/21/2020,369.75,192761,377.5,378.25,368.25
09/18/2020,378.5,179898,374.25,379.25,373.25
09/17/2020,375.25,222727,371.5,377.25,368
09/16/2020,371.75,146069,365.5,372,361.75
09/15/2020,366,121745,369,369.5,365.25
09/14/2020,357.5,219,366.75,366.75,359
09/11/2020,365,675,355.5,366,355.5
09/10/2020,357.25,665,349.75,357.75,349.75
09/09/2020,350,112,349.75,351.25,348.5
09/08/2020,351,874,348,353,346
09/04/2020,347.25,1680,345.75,347.75,343.5
09/03/2020,344.5,1449,349.75,350,343.75
09/02/2020,349.75,2095,349.25,350.5,345.25
09/01/2020,349.5,3252,347.75,350,343.25
08/31/2020,348.5,10385,348.75,353,346
08/28/2020,346,88847,343.25,347.75,340.75
08/27/2020,344.25,112942,340,344.75,339
08/26/2020,340.5,78360,340.25,341.25,337.25
08/25/2020,340.75,127534,335,341.5,334.75
08/24/2020,331.75,101259,328,332.5,327.5
08/21/2020,327,106010,324.75,327.75,324.25
08/20/2020,324.5,79623,324.25,325.75,320.75
08/19/2020,325,71092,326,327.25,323.5
08/18/2020,327,114462,330,332,325.75
08/17/2020,331,94419,327,331,326.5
08/14/2020,324.5,143264,324.5,325.25,321.5
08/13/2020,325.25,294763,315,327.5,314.75
08/12/2020,314.5,186132,311.25,315,308
08/11/2020,311.5,150247,311.25,315,310.25
08/10/2020,310.5,141816,307.5,311.75,307.5
08/07/2020,307.75,103672,311,311.75,307.25
08/06/2020,311.25,93319,310.5,312.75,309.5
08/05/2020,311,85685,309,311.25,309
08/04/2020,308.25,144437,316.5,316.75,308.25
08/03/2020,317.5,67901,315,318.25,315
07/31/2020,316,64381,315.75,317.5,314.5
07/30/2020,315.75,104818,315.5,319.25,315.25
07/29/2020,315.5,118641,320,321.5,315.25
07/28/2020,320,96543,323,323.5,320
07/27/2020,325,83374,325,327.5,323.25
07/24/2020,326.25,133642,328,329.75,325.5
07/23/2020,328,80743,327.25,329.5,325
07/22/2020,327.5,111335,323,328,322.25
07/21/2020,322.75,121005,327.75,327.75,322
07/20/2020,328.25,96353,333,333.5,326
