Date,Close/Last,Volume,Open,High,Low
04/09/2021,1.2725,N/A,1.2725,1.2725,1.2725
04/08/2021,1.2785,N/A,1.2785,1.2785,1.2785
04/07/2021,1.2675,N/A,1.2675,1.2675,1.2675
04/06/2021,1.2685,N/A,1.2685,1.2685,1.2685
04/05/2021,1.221,N/A,1.221,1.221,1.221
04/01/2021,1.216,N/A,1.216,1.216,1.216
03/31/2021,1.235,N/A,1.235,1.235,1.235
03/30/2021,1.226,N/A,1.226,1.226,1.226
03/29/2021,1.2705,N/A,1.2705,1.2705,1.2705
03/26/2021,1.285,N/A,1.285,1.285,1.285
03/25/2021,1.266,N/A,1.266,1.266,1.266
03/24/2021,1.265,N/A,1.265,1.265,1.265
03/23/2021,1.276,N/A,1.276,1.276,1.276
03/22/2021,1.301,N/A,1.301,1.301,1.301
03/19/2021,1.29,N/A,1.29,1.29,1.29
03/18/2021,1.2995,N/A,1.2995,1.2995,1.2995
03/17/2021,1.3355,N/A,1.3355,1.3355,1.3355
03/16/2021,1.345,N/A,1.345,1.345,1.345
03/15/2021,1.321,N/A,1.321,1.321,1.321
03/12/2021,1.33,N/A,1.33,1.33,1.33
03/11/2021,1.3235,N/A,1.3235,1.3235,1.3235
03/10/2021,1.3085,N/A,1.3085,1.3085,1.3085
03/09/2021,1.304,N/A,1.304,1.304,1.304
03/08/2021,1.2915,N/A,1.2915,1.2915,1.2915
03/05/2021,1.2885,N/A,1.2885,1.2885,1.2885
03/04/2021,1.3215,N/A,1.3215,1.3215,1.3215
03/03/2021,1.328,N/A,1.328,1.328,1.328
03/02/2021,1.3385,N/A,1.3385,1.3385,1.3385
03/01/2021,1.358,N/A,1.358,1.358,1.358
02/26/2021,1.375,N/A,1.375,1.375,1.375
02/25/2021,1.4005,N/A,1.4005,1.4005,1.4005
02/24/2021,1.3725,N/A,1.3725,1.3725,1.3725
02/23/2021,1.383,N/A,1.383,1.383,1.383
02/22/2021,1.3495,N/A,1.3495,1.3495,1.3495
02/19/2021,1.2915,N/A,1.2915,1.2915,1.2915
02/18/2021,1.293,N/A,1.293,1.293,1.293
02/17/2021,1.257,N/A,1.257,1.257,1.257
02/16/2021,1.2435,N/A,1.2435,1.2435,1.2435
02/12/2021,1.2115,N/A,1.2115,1.2115,1.2115
02/11/2021,1.212,N/A,1.212,1.212,1.212
02/10/2021,1.211,N/A,1.211,1.211,1.211
02/09/2021,1.2295,N/A,1.2295,1.2295,1.2295
02/08/2021,1.241,N/A,1.241,1.241,1.241
02/05/2021,1.245,N/A,1.245,1.245,1.245
02/04/2021,1.2405,N/A,1.2405,1.2405,1.2405
02/03/2021,1.2395,N/A,1.2395,1.2395,1.2395
02/02/2021,1.234,N/A,1.234,1.234,1.234
02/01/2021,1.2535,N/A,1.2535,1.2535,1.2535
01/29/2021,1.2295,N/A,1.2295,1.2295,1.2295
01/28/2021,1.24,N/A,1.24,1.24,1.24
01/27/2021,1.255,N/A,1.255,1.255,1.255
01/26/2021,1.245,N/A,1.245,1.245,1.245
01/25/2021,1.2325,N/A,1.2325,1.2325,1.2325
01/22/2021,1.2735,N/A,1.2735,1.2735,1.2735
01/21/2021,1.2735,N/A,1.2735,1.2735,1.2735
01/20/2021,1.2735,N/A,1.2735,1.2735,1.2735
01/19/2021,1.2735,N/A,1.2735,1.2735,1.2735
01/15/2021,1.2735,N/A,1.2735,1.2735,1.2735
01/14/2021,1.2735,N/A,1.2735,1.2735,1.2735
01/13/2021,1.2405,1,1.2465,1.2465,1.2465
01/12/2021,1.214,N/A,1.214,1.214,1.214
01/11/2021,1.211,N/A,1.211,1.211,1.211
01/08/2021,1.211,N/A,1.211,1.211,1.211
